HOUSE,REGION,WORDS,SOURCE,TIER
Bar Emmon,Crownlands,Swift and Sharp,invented,minor
Brune of Brownhollow,Crownlands,Bear the Way,invented,minor
Buckwell,Crownlands,Pride and Purpose,canon,minor
Cargyll,Crownlands,Never Divided,invented,minor
Celtigar,Crownlands,We Endure the Tide,invented,important
Chelsted,Crownlands,Fires of the Crown,invented,minor
Darklyn,Crownlands,Shields of the Dusk,invented,minor
Hayford,Crownlands,Bound by Loyalty,invented,minor
Massey,Crownlands,Carved in Stone,invented,minor
Rosby,Crownlands,Providing for the Realm,invented,minor
Staunton,Crownlands,Rest in Our Strength,invented,minor
Stokeworth,Crownlands,Proud to Be Faithful,canon,minor
Thorne,Crownlands,Strike with Iron,invented,minor
Velaryon,Crownlands,The Old the True the Brave,canon,important
Wendwater,Crownlands,For All Seasons,canon,minor
Targaryen,Crownlands/Valyrian,Fire and Blood,canon,great
Allyrion,Dorne,No Foe May Pass,canon,minor
Blackmont,Dorne,Shadow of the Mountain,invented,minor
Dayne,Dorne,Bright as the Morning,invented,important
Fowler,Dorne,Let Me Soar,canon,minor
Gargalen,Dorne,Sand and Steel,invented,minor
Jordayne,Dorne,Let It Be Written,canon,minor
Manwoody,Dorne,Rest in Our Shadow,invented,minor
Martell,Dorne,Unbowed Unbent Unbroken,canon,great
Uller,Dorne,Abandon All Hope,invented,minor
Wyl,Dorne,Hidden in the Stone,invented,minor
Yronwood,Dorne,We Guard the Way,canon,important
Blacktyde,Iron Islands,Silent and Deep,invented,minor
Codd,Iron Islands,Though All Men Despise Us,canon,minor
Drumm,Iron Islands,Our Axes Never Dull,invented,minor
Farwynd,Iron Islands,Beyond the Reach of Men,invented,minor
Goodbrother,Iron Islands,Brothers to the End,invented,minor
Greyjoy,Iron Islands,We Do Not Sow,canon,great
Harlaw,Iron Islands,Wisdom of the Waves,invented,important
Stonehouse,Iron Islands,Hard as the Rock,invented,minor
Volmark,Iron Islands,Rise From the Tides,invented,minor
Bolton,North,Our Blades are Sharp,canon,important
Cassel,North,Loyal in Death,invented,minor
Cerwyn,North,Honed and Ready,canon,minor
Dustin,North,Old Blood, Old Bones,invented,minor
Flint of Widow's Watch,North,Ever Vigilant,canon,minor
Glover,North,Loyal in Deed,invented,minor
Hornwood,North,Righteous in Wrath,canon,minor
Karstark,North,The Sun of Winter,canon,important
Locke,North,We Hold the Keys,invented,minor
Manderly,North,Faithful in the Deep,invented,important
Mormont,North,Here We Stand,canon,minor
Reed,North,Our Trees Have Eyes,invented,important
Ryswell,North,Swift as the Wind,invented,minor
Stark,North,Winter is Coming,canon,great
Tallhart,North,Proud and Free,canon,minor
Umber,North,Death Before Chains,canon,important
Whitehill,North,Ever Higher,invented,minor
Appleton,Reach,Our Bounty Endures,invented,minor
Ashford,Reach,Our Sun Shines Bright,canon,minor
Ball,Reach,Steady and Sure,invented,minor
Beesbury,Reach,Beware Our Sting,canon,minor
Bulwer,Reach,Death Before Disgrace,canon,minor
Crane,Reach,Grace Takes Flight,invented,minor
Florent,Reach,Bright and Bold,invented,minor
Fossoway of Cider Hall,Reach,A Taste of Glory,canon,minor
Fossoway of New Barrel,Reach,Pride in the Pip,invented,minor
Gardener,Reach,Growing Ever Since,invented,minor
Graceford,Reach,Work Her Will,canon,minor
Grandison,Reach,Rouse Me Not,canon,minor
Hightower,Reach,We Light the Way,canon,important
Merryweather,Reach,Behold Our Bounty,canon,minor
Oakheart,Reach,Our Roots Go Deep,canon,minor
Peake,Reach,Reaching Higher,invented,minor
Penrose,Reach,Set Down Our Deeds,canon,minor
Redwyne,Reach,Our Vintage Never Fades,invented,important
Rowan,Reach,Deep Roots Strong Boughs,invented,minor
Roxton,Reach,Orphans of the Steel,invented,minor
Selmy,Reach,Duty Above All,invented,minor
